Keywords,SERP Url,04.12.2025 14:59,24.10.2025 10:16,15.07.2025 13:50,19.06.2025 11:33,16.06.2025 16:19,03.03.2025 09:00,08.03.2024 16:56,09.02.2024 10:19,05.07.2023 13:37,05.06.2023 12:59,,02.05.2023 13:59,02.05.2023 13:41,20.04.2023 09:58,13.04.2023 14:16,05.04.2023 09:32,30.03.2023 12:08,23.03.2023 09:31,16.03.2023 10:21,09.03.2023 10:00,23.02.2023 13:20,16.02.2023 12:02,14.02.2023 16:26,09.02.2023 14:33,02.02.2023 11:00,26.01.2023 15:33,11.01.2023 20:22,02.01.2023 16:39,29.12.2022 10:20,22.12.2022 11:58,15.12.2022 09:52,08.12.2022 14:34,29.11.2022 13:48,23.11.2022 10:13,09.10.2022 15:44,04.10.2022 12:59,22.09.2022 11:39,12.09.2022 09:46,07.09.2022 13:27,01.09.2022 14:36,25.08.2022 15:40,15.08.2022 15:48,11.08.2022 14:34,26.07.2022 13:52
mole pest removal woodinville,https://got-moles.com/woodinville/,3.0,3.0,3.0,5.0,5.0,4.0,12.0,17.0,>100,18.0,16.0,16.0,9.0,12.0,23.0,18.0,22.0,12.0,18.0,25.0,18.0,19.0,12.0,13.0,19.0,19.0,>100,26.0,19.0,>100,>100,20.0,20.0,>100,22.0,20.0,>100,17.0,>100,>100,>100,>100,>100,>100
mole problem bellevue,https://got-moles.com/mole-control-bellevue/,2.0,4.0,3.0,6.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,6.0,5.0,6.0,5.0,5.0,3.0,5.0,5.0,4.0,4.0,7.0,4.0,8.0,11.0,9.0,6.0,9.0,30.0
mole problem bellevue,https://got-moles.com/mole-control-bellevue/,2.0,4.0,3.0,6.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,6.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,4.0,4.0,7.0,4.0,8.0,11.0,10.0,8.0,9.0,30.0
mole problem buckley,https://got-moles.com/mole-control-buckley/,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,>100,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,>100,>100,>100,>100,>100,6.0,2.0,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100
mole problem buckley,https://got-moles.com/mole-control-buckley/,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,>100,>100,>100,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,>100,>100,>100,>100,>100,1.0,1.0,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100
mole problem burien,https://got-moles.com/mole-control-burien/,1.0,3.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,8.0,5.0,6.0,7.0,6.0,16.0,10.0,10.0,10.0,10.0,13.0,14.0,10.0,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100
mole problem burien,https://got-moles.com/mole-control-burien/,1.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,4.0,6.0,6.0,4.0,16.0,10.0,10.0,10.0,10.0,14.0,7.0,12.0,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100
mole problem covington,https://got-moles.com/mole-control-covington/,2.0,1.0,1.0,1.0,1.0,1.0,1.0,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100
mole problem covington,https://got-moles.com/mole-control-covington/,3.0,1.0,1.0,1.0,1.0,1.0,1.0,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100
mole problem des moines,https://got-moles.com/mole-control-des-moines/,4.0,3.0,8.0,9.0,9.0,26.0,34.0,6.0,24.0,24.0,>100,23.0,>100,18.0,17.0,>100,18.0,20.0,15.0,>100,29.0,29.0,30.0,27.0,>100,17.0,20.0,20.0,22.0,21.0,19.0,20.0,20.0,21.0,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100
mole problem des moines,https://got-moles.com/mole-control-des-moines/,4.0,3.0,6.0,9.0,9.0,11.0,33.0,6.0,27.0,>100,19.0,25.0,>100,18.0,18.0,22.0,20.0,18.0,17.0,>100,33.0,25.0,29.0,26.0,31.0,>100,23.0,23.0,24.0,22.0,21.0,21.0,23.0,22.0,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100
mole problem enumclaw,https://got-moles.com/mole-control-enumclaw/,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,8.0
mole problem enumclaw,https://got-moles.com/mole-control-enumclaw/,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,>100,2.0,2.0,2.0,7.0
mole problem federal way,https://got-moles.com/mole-repellant-federal-way/,3.0,3.0,7.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,>100,>100,>100,>100,>100,>100
mole problem federal way,https://got-moles.com/mole-repellant-federal-way/,3.0,3.0,8.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,>100,>100,>100,>100,>100,>100
mole problem fife,https://got-moles.com/mole-control-fife/,1.0,2.0,2.0,>100,>100,2.0,>100,>100,>100,>100,95.0,83.0,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100
mole problem fife,https://got-moles.com/mole-control-fife/,1.0,2.0,2.0,2.0,>100,2.0,>100,>100,>100,>100,94.0,94.0,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100
mole problem issaquah,https://got-moles.com/issaquah-mole-control/,3.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,35.0,64.0,66.0,62.0,59.0,63.0,70.0,63.0,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100
mole problem issaquah,https://got-moles.com/issaquah-mole-control/,3.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,36.0,59.0,63.0,60.0,58.0,>100,64.0,61.0,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100
mole problem kenmore,https://got-moles.com/mole-exterminators-seattle/,5.0,2.0,6.0,2.0,2.0,1.0,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100
mole problem kenmore,https://got-moles.com/kenmore-mole-control/,2.0,2.0,6.0,2.0,2.0,1.0,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100
mole problem kent,https://got-moles.com/mole-control-kent/,1.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,6.0,22.0,21.0,22.0,25.0,24.0,52.0
mole problem kent,https://got-moles.com/mole-control-kent/,1.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,21.0,25.0,23.0,26.0,24.0,49.0
mole problem kirkland,https://got-moles.com/mole-control-kirkland/,6.0,6.0,7.0,4.0,5.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,6.0,9.0,7.0,>100,>100,>100,>100,>100,>100
mole problem kirkland,https://got-moles.com/mole-control-kirkland/,6.0,6.0,6.0,4.0,5.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,6.0,9.0,6.0,>100,>100,>100,>100,>100,>100
mole problem maple valley,https://got-moles.com/mole-control-maple-valley/,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100
mole problem maple valley,https://got-moles.com/mole-control-maple-valley/,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100
mole problem puyallup,https://got-moles.com/mole-trapping-puyallup/,4.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,10.0,9.0,9.0,8.0,9.0,5.0,8.0,8.0,8.0,8.0,13.0,9.0,10.0,9.0,11.0,11.0,13.0,20.0
mole problem puyallup,https://got-moles.com/mole-trapping-puyallup/,4.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,9.0,10.0,9.0,8.0,9.0,5.0,8.0,8.0,8.0,7.0,13.0,8.0,9.0,9.0,11.0,11.0,12.0,21.0
mole problem redmond,https://got-moles.com/mole-control/,6.0,10.0,4.0,5.0,6.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,4.0,3.0,9.0,5.0,>100,>100,>100,>100,>100,>100
mole problem redmond,https://got-moles.com/mole-trapping-redmond/,6.0,10.0,4.0,5.0,6.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,>100,4.0,3.0,8.0,9.0,>100,>100,>100,>100,>100,>100
mole problem renton,https://got-moles.com/mole-control-renton/,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,7.0,6.0,4.0,7.0,6.0,8.0,7.0,11.0
mole problem renton,https://got-moles.com/mole-control-renton/,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,6.0,7.0,7.0,8.0,6.0,9.0,8.0,11.0
mole problem seatac,https://got-moles.com/mole-control-seatac-2/,1.0,2.0,1.0,4.0,5.0,5.0,3.0,2.0,5.0,6.0,6.0,>100,>100,5.0,5.0,5.0,4.0,2.0,2.0,3.0,5.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,4.0,>100,9.0,10.0,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100
mole problem seatac,https://got-moles.com/mole-control-seatac-2/,1.0,2.0,1.0,4.0,5.0,5.0,6.0,2.0,5.0,5.0,6.0,>100,>100,5.0,3.0,5.0,4.0,3.0,2.0,4.0,5.0,3.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,5.0,2.0,>100,>100,10.0,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100
mole problem seattle,https://got-moles.com/,7.0,3.0,6.0,10.0,13.0,10.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,4.0,4.0,60.0
mole problem seattle,https://got-moles.com/,6.0,3.0,4.0,12.0,15.0,13.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,4.0,4.0,4.0,61.0
mole problem shoreline,https://got-moles.com/mole-trapping-seattle/,9.0,6.0,4.0,>100,>100,>100,>100,19.0,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100
mole problem shoreline,https://got-moles.com/mole-trapping-seattle/,9.0,6.0,4.0,>100,52.0,>100,9.0,19.0,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100
mole problem tacoma,https://got-moles.com/mole-trapping-tacoma/,1.0,2.0,3.0,3.0,3.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,5.0,5.0,6.0,5.0,7.0,7.0,8.0,10.0,9.0,32.0
mole problem tacoma,https://got-moles.com/mole-trapping-tacoma/,2.0,2.0,1.0,3.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,5.0,5.0,5.0,6.0,7.0,9.0,10.0,8.0,31.0
mole problem tukwila,https://got-moles.com/,3.0,2.0,3.0,1.0,1.0,1.0,27.0,52.0,54.0,>100,44.0,65.0,62.0,60.0,70.0,26.0,39.0,9.0,24.0,36.0,10.0,5.0,7.0,5.0,11.0,10.0,60.0,6.0,11.0,12.0,12.0,11.0,23.0,15.0,58.0,60.0,>100,63.0,55.0,>100,>100,>100,>100,>100
mole problem tukwila,https://got-moles.com/,3.0,2.0,3.0,1.0,1.0,1.0,>100,48.0,56.0,49.0,46.0,66.0,48.0,61.0,70.0,26.0,38.0,46.0,23.0,35.0,10.0,23.0,5.0,6.0,10.0,10.0,19.0,12.0,10.0,10.0,11.0,11.0,24.0,14.0,61.0,59.0,>100,58.0,68.0,>100,>100,>100,>100,>100
mole problem woodinville,https://got-moles.com/woodinville/,6.0,6.0,4.0,4.0,3.0,>100,98.0,84.0,>100,>100,>100,>100,>100,77.0,>100,71.0,69.0,64.0,71.0,73.0,72.0,70.0,71.0,60.0,66.0,72.0,83.0,82.0,77.0,69.0,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100
mole problem woodinville,https://got-moles.com/woodinville/,6.0,6.0,1.0,4.0,3.0,>100,>100,82.0,>100,>100,>100,>100,>100,77.0,95.0,71.0,74.0,66.0,66.0,67.0,72.0,70.0,69.0,60.0,68.0,72.0,81.0,82.0,77.0,69.0,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100
mole rabies,https://got-moles.com/do-moles-carry-diseases/,6.0,6.0,12.0,8.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mole rabies,https://got-moles.com/do-moles-carry-diseases/,4.0,6.0,9.0,8.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mole removal bellevue,https://got-moles.com/mole-control-bellevue/,22.0,24.0,12.0,15.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mole removal bellevue,https://got-moles.com/mole-control-bellevue/,22.0,24.0,14.0,17.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mole removal companies near me,https://got-moles.com/mole-control-renton/,5.0,3.0,4.0,5.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mole removal companies near me,https://got-moles.com/,5.0,3.0,4.0,5.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mole removal from yard near me,https://got-moles.com/mole-control-issaquah/,4.0,3.0,2.0,3.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mole removal from yard near me,https://got-moles.com/mole-control-issaquah/,4.0,3.0,2.0,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mole removal kirkland,https://got-moles.com/mole-control-kirkland/,20.0,41.0,15.0,10.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mole removal kirkland,https://got-moles.com/mole-control-kirkland/,18.0,61.0,14.0,>100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mole removal pest control,https://got-moles.com/,4.0,3.0,2.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mole removal pest control,https://got-moles.com/,5.0,3.0,1.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mole removal seattle,https://got-moles.com/,20.0,13.0,17.0,20.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mole removal seattle,https://got-moles.com/,14.0,20.0,16.0,20.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mole removal service,https://got-moles.com/,9.0,2.0,3.0,3.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mole removal service,https://got-moles.com/,9.0,2.0,3.0,3.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mole removal service bellevue,https://got-moles.com/mole-control-bellevue/,17.0,18.0,9.0,13.0,9.0,8.0,5.0,5.0,8.0,8.0,8.0,6.0,6.0,7.0,7.0,7.0,6.0,6.0,6.0,7.0,6.0,5.0,5.0,7.0,6.0,6.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,12.0,11.0,14.0,12.0,15.0,12.0,13.0,14.0,13.0,38.0
mole removal service bellevue,https://got-moles.com/mole-control-bellevue/,12.0,18.0,9.0,12.0,9.0,8.0,5.0,5.0,9.0,6.0,8.0,6.0,6.0,7.0,7.0,7.0,6.0,6.0,6.0,7.0,8.0,5.0,5.0,5.0,6.0,6.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,12.0,12.0,14.0,11.0,15.0,14.0,13.0,13.0,13.0,34.0
mole removal service buckley,https://got-moles.com/mole-control-buckley/,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,2.0,7.0,36.0,13.0,6.0,5.0,6.0,6.0,6.0,11.0,10.0,10.0,5.0,4.0,2.0,2.0,2.0,3.0,4.0,5.0,3.0,4.0,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100
mole removal service buckley,https://got-moles.com/mole-control-buckley/,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,2.0,5.0,38.0,8.0,6.0,3.0,5.0,9.0,6.0,12.0,12.0,9.0,5.0,4.0,2.0,2.0,3.0,3.0,4.0,8.0,4.0,4.0,>100,29.0,>100,34.0,>100,>100,>100,>100,>100,>100
mole removal service burien,https://got-moles.com/mole-control-burien/,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,5.0,8.0,15.0,27.0,21.0,19.0,22.0,18.0,18.0,24.0,17.0,20.0,22.0,25.0,17.0,16.0,33.0,32.0,>100,>100,>100,>100,>100,>100,>100,>100
mole removal service burien,https://got-moles.com/mole-control-burien/,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,4.0,4.0,5.0,5.0,5.0,6.0,4.0,4.0,5.0,3.0,5.0,8.0,16.0,23.0,20.0,17.0,22.0,30.0,19.0,22.0,18.0,20.0,20.0,26.0,18.0,18.0,33.0,31.0,>100,>100,>100,>100,>100,>100,>100,>100
mole removal service covington,https://got-moles.com/mole-control-covington/,3.0,1.0,2.0,3.0,3.0,2.0,4.0,16.0,>100,44.0,>100,>100,44.0,44.0,53.0,34.0,37.0,37.0,30.0,24.0,>100,37.0,33.0,36.0,7.0,8.0,21.0,20.0,17.0,15.0,16.0,45.0,8.0,7.0,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100
mole removal service covington,https://got-moles.com/mole-control-covington/,3.0,1.0,2.0,3.0,3.0,2.0,4.0,15.0,>100,>100,>100,39.0,43.0,37.0,52.0,37.0,34.0,41.0,53.0,58.0,>100,35.0,>100,45.0,6.0,7.0,18.0,19.0,15.0,17.0,17.0,46.0,17.0,6.0,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100
mole removal service des moines,https://got-moles.com/mole-control-orting/,3.0,2.0,9.0,7.0,7.0,8.0,8.0,8.0,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100
mole removal service des moines,https://got-moles.com/mole-control-orting/,2.0,2.0,9.0,7.0,7.0,6.0,8.0,8.0,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100,>100
mole removal service enumclaw,https://got-moles.com/mole-control-enumclaw/,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
mole removal service enumclaw,https://got-moles.com/mole-control-enumclaw/,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,>100,1.0,1.0,1.0,2.0
